2020-04-06 10:43:55.969 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.spring.redis.RedisTest], using SpringBootContextLoader
2020-04-06 10:43:55.980 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.spring.redis.RedisTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-06 10:43:55.981 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.spring.redis.RedisTest]: RedisTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-06 10:43:56.229 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.spring.redis.SpringRedisApplication for test class com.spring.redis.RedisTest
2020-04-06 10:43:56.455 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-06 10:43:56.491 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5df417a7, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7c041b41, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7f69d591, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@61078690, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1cb3ec38, org.springframework.test.context.transaction.TransactionalTestExecutionListener@403132fc, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71c5b236, org.springframework.test.context.event.EventPublishingTestExecutionListener@2cab9998, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2f7a7219, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@669513d8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3a1d593e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4a8a60bc, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@361c294e]
2020-04-06 10:43:56.952 [main] INFO  com.spring.redis.RedisTest - Starting RedisTest on DESKTOP-HMQUVHD with PID 16936 (started by 13216 in E:\chrome_dowload\redis)
2020-04-06 10:43:56.952 [main] INFO  com.spring.redis.RedisTest - No active profile set, falling back to default profiles: default
2020-04-06 10:43:58.125 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-06 10:43:58.129 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-04-06 10:43:58.187 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25ms. Found 0 Redis repository interfaces.
2020-04-06 10:43:58.621 [main] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor - Post-processing PropertySource instances
2020-04-06 10:43:58.780 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
2020-04-06 10:43:58.781 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource Inlined Test Properties [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2020-04-06 10:43:58.781 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
2020-04-06 10:43:58.781 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableMapPropertySourceWrapper
2020-04-06 10:43:58.781 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
2020-04-06 10:43:58.781 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource applicationConfig: [classpath:/application.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
2020-04-06 10:43:58.875 [main] INFO  c.u.j.filter.DefaultLazyPropertyFilter - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
2020-04-06 10:43:59.055 [main] INFO  c.u.j.resolver.DefaultLazyPropertyResolver - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
2020-04-06 10:43:59.058 [main] INFO  c.u.j.detector.DefaultLazyPropertyDetector - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
2020-04-06 10:43:59.176 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.hibernate.validator.internal.constraintvalidators.bv.NotNullValidator' of type [org.hibernate.validator.internal.constraintvalidators.bv.NotNullValidator] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-06 10:43:59.357 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redis-com.spring.redis.config.redis.RedisProperties' of type [com.spring.redis.config.redis.RedisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-06 10:43:59.363 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.spring.redis.config.redis.RedisConfig$$EnhancerBySpringCGLIB$$a37c1163] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-06 10:43:59.511 [main] INFO  com.spring.redis.config.redis.RedisConfig - redis nodes : 192.168.112.131:8001,192.168.112.131:8002,192.168.112.131:8003,192.168.112.131:8004,192.168.112.131:8005,192.168.112.131:8006
2020-04-06 10:43:59.851 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-04-06 10:44:01.243 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-06 10:44:02.006 [main] INFO  com.spring.redis.RedisTest - Started RedisTest in 5.425 seconds (JVM running for 8.665)
2020-04-06 10:44:02.594 [main] INFO  com.spring.redis.service.RedisService - 调用token生成接口获取token......
2020-04-06 10:44:02.605 [main] INFO  com.spring.redis.RedisTest - {"token":"x44sdf4hhhkkalsysefaj0"}
2020-04-06 10:44:02.642 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-06 10:44:02.647 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService
2020-04-06 11:55:37.563 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.spring.redis.RedisTest], using SpringBootContextLoader
2020-04-06 11:55:37.583 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.spring.redis.RedisTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-06 11:55:37.586 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.spring.redis.RedisTest]: RedisTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-06 11:55:37.915 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.spring.redis.SpringRedisApplication for test class com.spring.redis.RedisTest
2020-04-06 11:55:38.077 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-06 11:55:38.122 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@17503f6b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3bcd05cb, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3b6d844d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@36804139, org.springframework.test.context.support.DirtiesContextTestExecutionListener@20bd8be5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@730d2164, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@24959ca4, org.springframework.test.context.event.EventPublishingTestExecutionListener@10289886, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5c86dbc5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@461ad730, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4ee203eb, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1a5a4e19, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7068e664]
2020-04-06 11:55:38.673 [main] INFO  com.spring.redis.RedisTest - Starting RedisTest on DESKTOP-HMQUVHD with PID 8288 (started by 13216 in E:\chrome_dowload\redis)
2020-04-06 11:55:38.674 [main] INFO  com.spring.redis.RedisTest - No active profile set, falling back to default profiles: default
2020-04-06 11:55:39.915 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-06 11:55:39.923 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-04-06 11:55:39.975 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20ms. Found 0 Redis repository interfaces.
